suburb,postcode,state
Ajana,6532,WA
Albany,6330,WA
Aldersyde,6306,WA
Alexander Heights,6064,WA
Alfred Cove,6154,WA
Alkimos,6038,WA
Allanson,6225,WA
Ambergate,6280,WA
Anketell,6167,WA
Applecross,6153,WA
Ardath,6419,WA
Armadale,6112,WA
Arrino,6519,WA
Ascot,6104,WA
Ashby,6065,WA
Ashendon,6111,WA
Ashfield,6054,WA
Attadale,6156,WA
Atwell,6164,WA
Augusta,6290,WA
Australind,6233,WA
Aveley,6069,WA
Babbage Island,6701,WA
Badgebup,6317,WA
Badgerin Rock,6475,WA
Bailup,6082,WA
Bakers Hill,6562,WA
Balbarrup,6258,WA
Baldivis,6171,WA
Balingup,6253,WA
Balladong,6302,WA
Ballajura,6066,WA
Bally Bally,6304,WA
Balook,6391,WA
Bambun,6503,WA
Bandy Creek,6450,WA
Banksiadale,6213,WA
Banksia Grove,6031,WA
Barbalin,6479,WA
Barberton,6510,WA
Bardenup,6239,WA
Bardi,6721,WA
Bardoc,6472,WA
Barrabup,6275,WA
Barrow Island,6712,WA
Baskerville,6056,WA
Bateman,6150,WA
Baudin,6284,WA
Baynton,6714,WA
Beachlands,6530,WA
Beaconsfield,6477,WA
Beaufort River,6394,WA
Beckenham,6107,WA
Bedford,6052,WA
Beechboro,6063,WA
Beechina,6556,WA
Beela,6224,WA
Bejoording,6566,WA
